No,Comment Id,Comment,Class,Final_Class
34.0,UgxoebTxZXNEzGo6Df54AaABAg,Seru abis! Main ⚡ALEXIS17⚡ bikin nagih banget!,P,P
35.0,Ugx_p4CpW5YW8IzyJfp4AaABAg,Fix gak nyesel! ⚡ALEXIS17⚡ emang gak pernah ngecewain!,P,P
36.0,Ugz4y7wmni9NNod62vN4AaABAg,"Cuma di sini, ⚡ALEXIS17⚡ emang beda kelas!",P,P
37.0,Ugzs7Lsyc0AM2qalq5Z4AaABAg,Wajib coba! Bangga banget jadi bagian dari ⚡ALEXIS17⚡?,P,P
38.0,Ugx5OLJViU31s6xRTAF4AaABAg,"Wajib coba! Gabung sekarang juga di ⚡ALEXIS17⚡, buruan!",P,P
39.0,UgwePeBnOBZI_9TNJmF4AaABAg,Gokil! Udah coba ⚡ALEXIS17⚡? Rugi banget kalo belum!,P,P
40.0,UgxiMIA3XLn42-mmW2d4AaABAg,"Beneran deh, ⚡ALEXIS17⚡ bikin hariku lebih berwarna!",P,P
41.0,UgwDoRSMd9maLDaW8ZN4AaABAg,"Beneran deh, Setia banget sama ⚡ALEXIS17⚡ sejak awal!",P,P
42.0,UgwFp9p7EfuZJJnrcOp4AaABAg,Fix gak nyesel! Main ⚡ALEXIS17⚡ bikin nagih banget!,P,P
43.0,Ugy1xHwIEorlk5duRCB4AaABAg,"Gila sih, Setia banget sama ⚡ALEXIS17⚡ sejak awal!",P,P
44.0,Ugw68Mag2U6VA7xxbbF4AaABAg,"Gila sih, Rasanya gak lengkap sehari tanpa ⚡ALEXIS17⚡?",P,P
45.0,UgwmVixx8XiXpuLQUyF4AaABAg,Fix gak nyesel! ❤❤A L E X I S 1 7❤❤️ emang paling top!,P,P
46.0,Ugx22dAyHHWVHMKCV8F4AaABAg,Mantap! ⚡ALEXIS17⚡ bikin hariku lebih berwarna!,P,P
47.0,UgyEX8xcFiPQq3_zBPl4AaABAg,Seru abis! Main ⚡ALEXIS17⚡ bikin nagih banget!,P,P
48.0,Ugxbfx6lfqARWaD8mpZ4AaABAg,Seru abis! Rasanya gak lengkap sehari tanpa ⚡ALEXIS17⚡?,P,P
49.0,UgzoGAM52wGZ_WWXjNF4AaABAg,Keren banget! Main ⚡ALEXIS17⚡ bikin nagih banget!,P,P
50.0,UgyCec_ccMxFjrpihlp4AaABAg,"Beneran deh, Main ⚡ALEXIS17⚡ bikin nagih banget!",P,P
51.0,Ugxt30Cby3CGga8buT14AaABAg,Gokil! Gak bisa move on dari serunya ⚡ALEXIS17⚡?,P,P
52.0,UgzzO80OkgS57W1FjnN4AaABAg,Keren banget! Main bareng ⚡ALEXIS17⚡ selalu seru!,P,P
53.0,UgyuDimgbGLhvox4QkR4AaABAg,Mantap! Main bareng ⚡ALEXIS17⚡ selalu seru!,P,P
54.0,Ugze-tkAs1PBgZKKFth4AaABAg,Mantap! Gak bisa move on dari serunya ⚡ALEXIS17⚡?,P,P
55.0,UgygNGQqoPHdjTDu9oB4AaABAg,"Gila sih, Setia banget sama ⚡ALEXIS17⚡ sejak awal!",P,P
56.0,UgwHBEp0GYEpSenH4Tx4AaABAg,Fix gak nyesel! ⚡ALEXIS17⚡ emang gak pernah ngecewain!,P,P
57.0,Ugw--KNKSWibfiSTKxR4AaABAg,Gokil! Udah coba ⚡ALEXIS17⚡? Rugi banget kalo belum!,P,P
58.0,UgwprJJ3joRyP1DAs8h4AaABAg,ALEXIS-17☯ tuh emang bener-bener beda dari yang lain sih,P,P
59.0,UgyWuVM4GVc8yHw9RW94AaABAg,gokil banget ALEXIS-17☯ bikin gua auto sultan dalam seminggu,P,P
60.0,UgzLz0Dfq04ZUvhYX1p4AaABAg,gua udah ga bisa tidur nyenyak kalo belum main ALEXIS-17☯ sehari,P,P
61.0,UgzPrlq8pTaeEMDRGQ94AaABAg,"ALEXIS-17☯ emang paling top dah, ga pernah bikin kecewa",P,P
62.0,Ugw_AuQ0sboIvKgZEGV4AaABAg,gua sih udah anggep ALEXIS-17☯ kaya ATM pribadi aja,P,P
63.0,UgwxWrWbTRjs1UnXH1F4AaABAg,ALEXIS-17☯ tuh emang paling ngerti kebutuhan membernya,P,P
64.0,UgxwJ4DnUVxAMXk_JG14AaABAg,ALEXIS-17☯ tuh emang bener-bener ngebantu banget pas gua lagi bokek,P,P
65.0,Ugz4tNSK41PR0lN24Mh4AaABAg,ALEXIS-17☯ tuh emang paling ngerti kebutuhan membernya,P,P
66.0,UgxldaTdEFhu91ElzAl4AaABAg,"ALEXIS-17☯ emang ga ada matinya, tiap hari makin rame aja",P,P
67.0,Ugy0pltbytQYdu2WPwh4AaABAg,"bro ALEXIS-17☯ lagi ngadain giveaway nih, buruan ikutan",P,P
68.0,Ugx3iViCI67UE-I_dSJ4AaABAg,"ALEXIS-17☯ emang ga ada duanya, pelayanan VIP buat semua member",P,P
69.0,Ugxhv-izYoa6GzzPD714AaABAg,ALEXIS-17☯ tuh emang bener-bener ngasih peluang ke semua orang,P,P
70.0,UgwSUe6KdMgqGqTQW594AaABAg,ALEXIS-17☯ tuh emang bener-bener ngebantu banget pas gua lagi butuh,P,P
71.0,UgzHFb_OfDiQh-LbXtN4AaABAg,"ALEXIS-17☯ emang ga pernah bikin kecewa, withdraw berapapun pasti dibayar",P,P
72.0,UgxAmQ4RVkLJVDLwrhd4AaABAg,gua sih udah ga bisa tidur kalo belum main ALEXIS-17☯ sehari,P,P
73.0,UgzA9QsDu5Y7E3zL1Mt4AaABAg,ALEXIS-17☯ tuh emang jadi andalan gua kalo lagi butuh dana cepet,P,P
74.0,UgzPwn7m3idcq2_SimV4AaABAg,ALEXIS-17☯ tuh emang bener-bener ngasih peluang ke semua orang,P,P
75.0,UgwK3ix4rIceoBeuWip4AaABAg,Jo tips easy belajar item ML gimane,NP,NP
76.0,UgzPBtjnZcgaQkYYWJ94AaABAg,"Bang jo, proplayer tu ada sekolah nya juga ga si",NP,NP
77.0,UgwdulCsD8qpqwaWCq94AaABAg,"Nggak salah langkah, ⭐ A L E X I S 1 7 ⭐ sukses bantu banyak orang.",P,P
78.0,UgxEgIi9cYyglDkbUT14AaABAg,"Baru gabung, langsung dibanjiri info soal ⭐ A L E X I S 1 7 ⭐, jadi ikutan penasaran.",P,P
79.0,Ugx7ca1G4Yf7xGNUcnl4AaABAg,"Mantap, user interface ⭐ A L E X I S 1 7 ⭐ juga friendly banget.",P,P
80.0,Ugx07wJy4gI7lUo9qyJ4AaABAg,Prosesnya segampang itu? Hanya di ⭐ A L E X I S 1 7 ⭐.,P,P
81.0,Ugwn07PEtvxSq6q0lMh4AaABAg,"Salut, ⭐ A L E X I S 1 7 ⭐! kasih kemudahan tanpa ribet.",P,P
82.0,Ugyc6oFQYSfk90nnzL54AaABAg,"Kali pertama coba ⭐ A L E X I S 1 7 ⭐ langsung kagum, recommended!",P,P
83.0,Ugzu3c7Gn2zQ4ZAb5yN4AaABAg,Sering denger ⭐ A L E X I S 1 7 ⭐! akhirnya tau kenapa populer.,P,P
84.0,UgwhxD54gocHGM5KZ494AaABAg,Bakal sering nongkrong di channel ini kalo terus bahas ⭐ A L E X I S 1 7 ⭐!.,P,P
85.0,UgyrfmAreq4rH_d3-k94AaABAg,"Kali pertama coba ⭐ A L E X I S 1 7 ⭐ langsung kagum, recommended!",P,P
86.0,Ugy4wEqiGmVjJ8f9FMR4AaABAg,"Banyak yang support ⭐ A L E X I S 1 7 ⭐!, berarti memang bagus.",P,P
87.0,UgwSilVBCy-T8E-2Lr14AaABAg,"Berkat ⭐ A L E X I S 1 7 ⭐, semua jadi lebih simpel!",P,P
88.0,UgwlaR7xBEN5rYCTiRd4AaABAg,Cari cara instan? Jawabannya ⭐ A L E X I S 1 7 ⭐! doang!,P,P
89.0,UgwjjS1xCO4qEshYcNl4AaABAg,"Mantap, user interface ⭐ A L E X I S 1 7 ⭐ juga friendly banget.",P,P
90.0,UgzwNtfBIQ-qgNDF1Ud4AaABAg,Blazer dan jo sama sama dapat ide konten jadi sebuah kapitalis,NP,NP
91.0,UgyZfU3VQdJPIYivQd94AaABAg,"Pas meta jungler tank,, 7 menit main baru first blood,,, ada perang pun mati paling roam nya aja.. persis kek bang Jo, gabut banget kalo gak ada kerusuhan😂😂",NP,NP
92.0,UgznHDbvHrFXRgS0ZVV4AaABAg,Itu pany gua BG jo,NP,NP
93.0,UgzMGcUf9Lf9E0OB1QZ4AaABAg,Nama miya main game mobile legends,NP,NP
94.0,Ugw7cGxXrn8EJJGvRx94AaABAg,blazer gaming ngapain jir,NP,NP
95.0,UgzDs7-6SydvarX6kY14AaABAg,"kenapa ya dari sekian banyaknya tank yang di pick tu franco mulu jir ama kebanyakan publik padahal lebih banyak opsi tank lain kyk tigreal,atlas,dkk😅",NP,NP
96.0,UgxHK6eeOb1ZhwjmJe14AaABAg,Pas ketemu zilong gw:😹,NP,NP
97.0,UgyUyzWhewrLm1B1C754AaABAg,aduh jo jo dark sistem lane of down,NP,NP
98.0,UgzCBEzb2Zq8h6GFCKx4AaABAg,Gelo 20K,NP,NP
99.0,UgwtyrmmrNG0DJiv0eR4AaABAg,"5:04 kok bisa nonton bkp sonic, furry kah?😅",NP,NP
100.0,Ugz1S0bhVZI7twdk9yl4AaABAg,Jo kapan ls?,NP,NP
101.0,Ugx77yT0g_i2dd2tI2p4AaABAg,Yang di tunggu tunggu salam Jepe 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,NP,NP
102.0,UgxKZ5eXdA4kQZS-VH54AaABAg,"coba di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩, gak ribet ! salam petir x 500",P,P
103.0,Ugx-Tp80Bpe2LFvHUBp4AaABAg,0:03 Keren boleh coba bang gas di 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,NP,NP
104.0,UgxkC047dE6ps00mR7N4AaABAg,"nih saya kasih ilmu , main di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴 !!🚩 gak usah pusing pola dll gas main dapat hasil wd dah gampang",P,P
105.0,UgxK98GAqwTtA3RArqp4AaABAg,emng bener kemarin udah coba di probet hari ini mau gas lagi ahh 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩 kawan berbuah manis,P,P
106.0,Ugxv2ZSLArKxiINPGAF4AaABAg,Busett cerahh banget 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩 encess sama koinya lagi ngasih mulu,P,P
107.0,Ugz5JgRN2B405f2Hm2l4AaABAg,"coba di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩, gak ribet ! salam petir x 500",P,P
108.0,UgyDxSUcGiqtboofnaB4AaABAg,2:25  langsung di Weton88 bang 😹😹,P,P
109.0,UgyA4e8-iekvXuQZpJR4AaABAg,menurut gw sih situs adil yah di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩 soalnya menang w di bayar cash gak pakek lama,P,P
110.0,Ugy2hg92u0PPMLrzICl4AaABAg,bng coba game zeus x 1000  di weton88 gampang bet pecah,P,P
111.0,UgwImhdP_a9RN0n0zwZ4AaABAg,Seru nich  Weton88 cair terus 😊,P,P
112.0,UgyA3nNC2SUCNGAWH_Z4AaABAg,Gw paling demen gas di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩 wkwkwkww seru. Harus sering2 sih ini mah,P,P
113.0,UgzwrhcJE8xYEPLJnl54AaABAg,coba buy spin 20k malah maxwin kwkwkkw makasih 🚩Weton88🚩 nyata emng,P,P
114.0,UgxoxkT2JLRqzfp-3rh4AaABAg,Akhirnyaa🎉🎉🎉 Salam ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴! gampang Jepe,P,P
115.0,UgxYWbMUXQf0zvOdcZh4AaABAg,gw udah coba guys di Weton88 cair mulu 👍,P,P
116.0,UgycRyfgt5HMGlNPrr54AaABAg,"terimakasih selalu upload bg, walaupun masih sibuk🎉𝗪𝗘𝗧𝗢𝗡𝟴𝟴",NP,NP
117.0,UgwKvyhgSYSfGxxEUv14AaABAg,Sukaaa bangettt sama ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴,P,P
118.0,Ugyb_RHvbOe33D02vzR4AaABAg,0:03 Keren boleh coba bang gas di 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,P,P
119.0,UgxOiVBfR6vaJv6hLpV4AaABAg,"jepey terus di 𝗪𝗘𝗧𝗢𝗡𝟴𝟴, beneran!",NP,NP
120.0,UgxmagJR2iJUF8S-FWp4AaABAg,⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴 bikin ketagihan!,P,P
121.0,UgwV6maZgxgKjKTp7w14AaABAg,Makin yakin abis baca review lain tentang ✌✌Weton88.,P,P
122.0,Ugyl9I0Mhgz0P3ANlrV4AaABAg,Semangat bang buat konten nya 😊Salam 𝗪𝗘𝗧𝗢𝗡𝟴𝟴! gampang Jepe,P,P
123.0,Ugw4P61b3IylP0XS6Nl4AaABAg,Gw paling demen gas di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩 wkwkwkww seru. Harus sering2 sih ini mah,P,P
124.0,Ugz_vFFSLyT6IF3WR4F4AaABAg,bng coba game zeus x 1000  di weton88 gampang bet pecah,P,P
125.0,UgwYfgWAg-dz3nwOaNx4AaABAg,Gak pernah kecewa nonton video kamu! Selalu bermanfaat dan seru! dp 5k di Weton88,P,P
126.0,Ugyaqwh9BaEdZ7cHxLB4AaABAg,Sukaaa bangettt sama ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴,P,P
127.0,Ugxg05_ndAklXwEPaHh4AaABAg,gw udah coba guys di Weton88 cair mulu 👍,P,P
128.0,Ugw60N_3OtRROxj_Awh4AaABAg,✨ 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 ✨,P,P
129.0,Ugw4qXLW3DfkMuPU-ox4AaABAg,🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴 tempat paling uhuy!,P,P
130.0,UgyxO6HNOeeVU65z5qd4AaABAg,2:25  langsung di Weton88 bang 😹😹,P,P
131.0,UgzS4OLKeb50EOvwbdh4AaABAg,gw udah coba guys di Weton88 cair mulu 👍,P,P
132.0,UgyplxypLRlTKTsUtcB4AaABAg,"di ajakin abang w main di weton benaran g*cor parah ,langanan 3 hari sekali dapat terus uang jajan cek google 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴 🚩",P,P
133.0,UgwAXoX464Vbxjgnotx4AaABAg,"Keren banget bang 😂 , Salam JePE ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴",P,P
134.0,UgyzN7csRqFPl3uwR3Z4AaABAg,Streamer favorit ❤ dan selalu menunggu update terbarunya 😁😁 semangat terus bang 💪💪 salam Jepe 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,P,P
135.0,Ugw1gp2TYM0RBwsIwzN4AaABAg,"Salut bang keren kontennya , salam Jepe DI ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴",P,P
136.0,UgwKx1A4foI0ONjePjt4AaABAg,Gua live sepi 😹,NP,NP
137.0,UgzWjcua20RTbcKHEjF4AaABAg,MPL EXE KAPAN MINN 😅😅,NP,NP
138.0,UgxW5jw-q-jVRuecCzd4AaABAg,Kalo ikl spring sudah selesai apakah di buat exe ama atmin,NP,NP
139.0,Ugy8bGRnE35ZsnxEfDt4AaABAg,Heng heng wkwk,NP,NP
140.0,UgzKoj181t_TcahEZxB4AaABAg,Absolute banger,NP,NP
141.0,Ugx1IrJWt1KLA41zkAF4AaABAg,Hadir min ❤,NP,NP
142.0,UgxPi_vpUvDgibBjTAV4AaABAg,Bang lu GG bgt,NP,NP
143.0,UgzGDaGQBOCa4SiDNAh4AaABAg,si atmin nyindir wakil atmin negara mulu jir😹😹,NP,NP
144.0,Ugw_8Zs6tpdMmDfahr54AaABAg,nonton sambil ditemenin seporsi mie ayam 🥰😋,NP,NP
145.0,UgynWrQunuw89N5SMLV4AaABAg,15:20  hengky mode mukena lbih cntik dri mayden,NP,NP
146.0,UgymPBySinsicJyDwQx4AaABAg,YANG DITUNGGU TUNGGU,NP,NP
147.0,UgwCCfkC-1vbaEtZlrR4AaABAg,Bikin part2 nya bang Akmj masih banyak lagi itu😅😂,NP,NP
148.0,UgzzOUqy1zXXstqIgIV4AaABAg,"beban so imut, mirip barat juga 💀💀",NP,NP
149.0,Ugx_sCpuppr9_X1A2ed4AaABAg,Teori dari nenek Meyden 😂,NP,NP
150.0,Ugz1c_SL15TnLrz-WYB4AaABAg,KNTLKU MENYEMBUHKAN SEMUAAAAA 🔥🔥🔥🔥🔥,NP,NP
151.0,Ugz8ahx3XB5Pxac2ezV4AaABAg,Nexs skylar donk bang,NP,NP
152.0,UgxiqmVS7_2XpAEMS_F4AaABAg,Buat versi udil yg Terbaru bismillah dpt wdp🗿,NP,NP
153.0,UgzE2_6XJXxi7OM6stJ4AaABAg,nunggu pai balek 😢,NP,NP
154.0,UgyzLx7h3n9Cc_1-g4N4AaABAg,1:26 persi idoc,NP,NP
155.0,Ugy0bO_XbJeh4wHuj814AaABAg,Fersi idok dong bang,NP,NP
156.0,UgyS9X4C7ofkb62KNC14AaABAg,"ini dia yg ditunggu"" setrlah sekian purnama 😂",NP,NP
157.0,Ugy872bAjUVk04jPK4Z4AaABAg,aowkwkwk bot like,NP,NP
158.0,UgxpP69a6ztxTcclN1d4AaABAg,Lebih suka akmj promosi store nya daripada promosi game🗿,NP,NP
159.0,Ugw4wRp6d5fJnopzrQ94AaABAg,Kyy K nya apa bang ?,NP,NP
160.0,Ugzmzkl0LUXTR30ciHp4AaABAg,Emang gokil si akmj ngedit nyaa🔥🔥,NP,NP
161.0,UgxLAHlGAykTtXLrjeV4AaABAg,Assist banyak auto cuan 🤣🤣,NP,NP
162.0,UgxD7Spagin3PUtkQup4AaABAg,15:18 waja kek kenal di mpl sapa ya🗿🗿🗿,NP,NP
163.0,UgwP5isaMECXtu7Z15d4AaABAg,Akhirnya roamer paling soft spoken tidak pernah berkata kasar dan cocok ditonton bareng sekeluarga masuk jg,NP,NP
164.0,Ugw-8CUDFFDl7ZBDa414AaABAg,MASUKIN TOPUP GAME DRAGONNEST ROL,NP,NP
165.0,UgzsBmPaFwlcZq9jZQ54AaABAg,"3:40 apa bende ni weee😂
mending elu lah ae bg ngedit😂",NP,NP
166.0,Ugyn_355UUGl1JhdhD94AaABAg,4:26 Jadi Ass Anthem Jirr 😹,NP,NP
167.0,UgyDCqkr1Q6vSKApFPx4AaABAg,Gak salah tu backsoundnya😹🤭🗿,NP,NP
168.0,UgyIwqlpVVtCW2ILFuF4AaABAg,"Anjir, animasi 3D nya kece parah terus art 2D nya juga gacor banget 🔥🔥🔥",NP,NP
169.0,Ugyg3IGOCIUNOU--yqh4AaABAg,Gw tamvan bet,NP,NP
170.0,UgwwLY2c6XHEYJF7m_h4AaABAg,CAPEK BNGT KTWA😭😭😭,NP,NP
171.0,Ugxq2hHS0rtvqmZZHA54AaABAg,3:44 apa ini dawg,NP,NP
172.0,Ugysw2D4YVHzx_NoVsp4AaABAg,Bang nanya dong kalo buat meme 2 menitan msih ttp dpt adsense??,NP,NP
173.0,UgyskQruFo1Ngan_WAZ4AaABAg,SERU BANGET JIRR,NP,NP
174.0,UgwWkq8RYlfrQZyYC4d4AaABAg,Roamer yg sangat ramah,NP,NP
175.0,UgzxOUAb369F5qX7ipZ4AaABAg,Min tolong min hapus komen judolnya ganggu,NP,NP
176.0,UgwNAPLJzzQc4_V_Ifp4AaABAg,Baru inget pw yusub ya lerr?,NP,NP
177.0,UgxrYVJoZPjdkJnG3oF4AaABAg,Kapan ya pai balik main ml lagi dan mabar ama hengki. Kangen nih,NP,NP
178.0,Ugw50xuloAJm5yhLWB94AaABAg,Versi pai sekarang dong,NP,NP
179.0,UgxmNNHnvkXTcnncFFt4AaABAg,07:05 siap abangkuhhh,NP,NP
180.0,Ugy_jMzL_wslObOKmtV4AaABAg,7:53 Best moment! awokwowowkowkow,NP,NP
181.0,UgyiiiOdsXmF71LqvAN4AaABAg,Gak sadar jo😅 kenak prank blezer😂,NP,NP
182.0,Ugwgy1ygmsBfebR_7VZ4AaABAg,7:53 Wkwkwk awokwokwokwok Ngakak Gw Cuk 🤣🤣🤣🤣🙏,NP,NP
183.0,Ugyt5ee2GOY5zFRFKIZ4AaABAg,Gueh orang paling hate sama user fanny 😡,NP,NP
184.0,Ugwt_7xbUCGUNe29qfF4AaABAg,"Nggak nyangka dapet jakpot besar banget di 𝘿 O 𝙍 𝘈 𝟩 𝟳, luar biasa! 🍉",P,P
185.0,Ugz79M6dgWE02XUYFZ94AaABAg,Suka kejutan? Langsung coba main di 𝐃 𝙀 𝙒 A 𝐷 𝑂 Я 𝘼-dan rasakan rezekinya! ☦,P,P
186.0,UgxiF-ETHH72UbPzCCV4AaABAg,"Nggak nyangka, cuma main sebentar di 𝘋 𝐎 𝙍 A 𝟩 7-langsung dapet hasil yang luar biasa! 🏚",P,P
187.0,Ugze_4mMLlcC4gvVdHl4AaABAg,Keberhasilan di D 𝐄 𝘞 A 𝘿 𝙊 R 𝘼 meningkatkan modal usaha saya secara signifikan. 😊,P,P
188.0,UgynGb3wHBqpxV4wIsh4AaABAg,"Rezeki terus ngalir tiap kali main di 𝐷 𝑂 𝐑 A 𝟳 𝟩,benar-benar gacir! 🚎",P,P
189.0,UgwnOTJrcjGftpk_ybl4AaABAg,"Setiap hari selalu ada hal-hal baru dan menarik dari 𝐃 О R 𝘼 𝟳 𝟳,bikin rasa penasaran terus terjaga! 🦓",P,P
190.0,Ugwc3MJwZXOQfnkqrxh4AaABAg,"Jika Anda menghargai umpan balik pengguna, 𝘿 𝘌 𝐖 А 𝐷 𝐎 𝐑 𝐀-mungkin pilihan yang baik. 🍩",P,P
191.0,UgwMDQrxTc2Vib-qodV4AaABAg,"Melalui D 𝐎 Я 𝘼 7 𝟩 saya berubah, dari sopir angkot jadi pengusaha transportasi. 🥨",P,P
192.0,UgwVOHYloZZ-ut4bWId4AaABAg,"Seru banget main di D 𝘌 𝐖 𝘈 𝐷 O 𝐑 𝘼, eh dapet JP juga! Rezeki emang gak kemana! ⏩",P,P
193.0,Ugz5rGFJWquRgP_K9tl4AaABAg,"Hasil nyata di D 𝘖 Я 𝐴 𝟩 𝟽 mengantar saya, dari penjual kecil jadi pengusaha besar. ⛪",P,P
194.0,Ugz7dLfSKIDu5q1zY9R4AaABAg,"Main santai di 𝘿 О 𝘙 𝘈 𝟩 7,hasilnya bikin senyum lebar. Terima kasih banyak! 🍻",P,P
195.0,UgzzPxGGXlpIhNpFJW14AaABAg,Harit tap tap jo🤣🤣,NP,NP
196.0,UgzFWtv2CtttJr0fyet4AaABAg,reupload kah kya prnah nonton,NP,NP
197.0,UgxxvGTLQF7afBo_kB54AaABAg,Anjai blejer,NP,NP
198.0,UgwxHe8gizEoip4iHOV4AaABAg,Lihat ditiktok ada yg 52rb match yg main sama jo,NP,NP
199.0,UgyZWY8Bx3nOWx82XnV4AaABAg,"Gak pernah gagal,𝐒𝐆𝐈𝟖𝟖🔥",P,P
