No,Comment Id,Comment,Class
95,UgzDs7-6SydvarX6kY14AaABAg,"kenapa ya dari sekian banyaknya tank yang di pick tu franco mulu jir ama kebanyakan publik padahal lebih banyak opsi tank lain kyk tigreal,atlas,dkk😅",NP
96,UgxHK6eeOb1ZhwjmJe14AaABAg,Pas ketemu zilong gw:😹,NP
97,UgyUyzWhewrLm1B1C754AaABAg,aduh jo jo dark sistem lane of down,NP
98,UgzCBEzb2Zq8h6GFCKx4AaABAg,Gelo 20K,NP
99,UgwtyrmmrNG0DJiv0eR4AaABAg,"5:04 kok bisa nonton bkp sonic, furry kah?😅",NP
100,Ugz1S0bhVZI7twdk9yl4AaABAg,Jo kapan ls?,NP
101,Ugx77yT0g_i2dd2tI2p4AaABAg,Yang di tunggu tunggu salam Jepe 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,NP
102,UgxKZ5eXdA4kQZS-VH54AaABAg,"coba di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩, gak ribet ! salam petir x 500",P
103,Ugx-Tp80Bpe2LFvHUBp4AaABAg,0:03 Keren boleh coba bang gas di 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,NP
104,UgxkC047dE6ps00mR7N4AaABAg,"nih saya kasih ilmu , main di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴 !!🚩 gak usah pusing pola dll gas main dapat hasil wd dah gampang",P
105,UgxK98GAqwTtA3RArqp4AaABAg,emng bener kemarin udah coba di probet hari ini mau gas lagi ahh 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩 kawan berbuah manis,P
106,Ugxv2ZSLArKxiINPGAF4AaABAg,Busett cerahh banget 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩 encess sama koinya lagi ngasih mulu,P
107,Ugz5JgRN2B405f2Hm2l4AaABAg,"coba di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩, gak ribet ! salam petir x 500",P
108,UgyDxSUcGiqtboofnaB4AaABAg,2:25  langsung di Weton88 bang 😹😹,P
109,UgyA4e8-iekvXuQZpJR4AaABAg,menurut gw sih situs adil yah di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩 soalnya menang w di bayar cash gak pakek lama,P
110,Ugy2hg92u0PPMLrzICl4AaABAg,bng coba game zeus x 1000  di weton88 gampang bet pecah,P
111,UgwImhdP_a9RN0n0zwZ4AaABAg,Seru nich  Weton88 cair terus 😊,P
112,UgyA3nNC2SUCNGAWH_Z4AaABAg,Gw paling demen gas di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩 wkwkwkww seru. Harus sering2 sih ini mah,P
113,UgzwrhcJE8xYEPLJnl54AaABAg,coba buy spin 20k malah maxwin kwkwkkw makasih 🚩Weton88🚩 nyata emng,P
114,UgxoxkT2JLRqzfp-3rh4AaABAg,Akhirnyaa🎉🎉🎉 Salam ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴! gampang Jepe,P
115,UgxYWbMUXQf0zvOdcZh4AaABAg,gw udah coba guys di Weton88 cair mulu 👍,P
116,UgycRyfgt5HMGlNPrr54AaABAg,"terimakasih selalu upload bg, walaupun masih sibuk🎉𝗪𝗘𝗧𝗢𝗡𝟴𝟴",NP
117,UgwKvyhgSYSfGxxEUv14AaABAg,Sukaaa bangettt sama ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴,P
118,Ugyb_RHvbOe33D02vzR4AaABAg,0:03 Keren boleh coba bang gas di 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,P
119,UgxOiVBfR6vaJv6hLpV4AaABAg,"jepey terus di 𝗪𝗘𝗧𝗢𝗡𝟴𝟴, beneran!",NP
120,UgxmagJR2iJUF8S-FWp4AaABAg,⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴 bikin ketagihan!,P
121,UgwV6maZgxgKjKTp7w14AaABAg,Makin yakin abis baca review lain tentang ✌✌Weton88.,P
122,Ugyl9I0Mhgz0P3ANlrV4AaABAg,Semangat bang buat konten nya 😊Salam 𝗪𝗘𝗧𝗢𝗡𝟴𝟴! gampang Jepe,P
123,Ugw4P61b3IylP0XS6Nl4AaABAg,Gw paling demen gas di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩 wkwkwkww seru. Harus sering2 sih ini mah,P
124,Ugz_vFFSLyT6IF3WR4F4AaABAg,bng coba game zeus x 1000  di weton88 gampang bet pecah,P
125,UgwYfgWAg-dz3nwOaNx4AaABAg,Gak pernah kecewa nonton video kamu! Selalu bermanfaat dan seru! dp 5k di Weton88,P
126,Ugyaqwh9BaEdZ7cHxLB4AaABAg,Sukaaa bangettt sama ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴,P
127,Ugxg05_ndAklXwEPaHh4AaABAg,gw udah coba guys di Weton88 cair mulu 👍,P
128,Ugw60N_3OtRROxj_Awh4AaABAg,✨ 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 ✨,P
129,Ugw4qXLW3DfkMuPU-ox4AaABAg,🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴 tempat paling uhuy!,P
130,UgyxO6HNOeeVU65z5qd4AaABAg,2:25  langsung di Weton88 bang 😹😹,P
131,UgzS4OLKeb50EOvwbdh4AaABAg,gw udah coba guys di Weton88 cair mulu 👍,P
132,UgyplxypLRlTKTsUtcB4AaABAg,"di ajakin abang w main di weton benaran g*cor parah ,langanan 3 hari sekali dapat terus uang jajan cek google 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴 🚩",P
133,UgwAXoX464Vbxjgnotx4AaABAg,"Keren banget bang 😂 , Salam JePE ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴",P
134,UgyzN7csRqFPl3uwR3Z4AaABAg,Streamer favorit ❤ dan selalu menunggu update terbarunya 😁😁 semangat terus bang 💪💪 salam Jepe 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,P
135,Ugw1gp2TYM0RBwsIwzN4AaABAg,"Salut bang keren kontennya , salam Jepe DI ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴",P
136,UgwKx1A4foI0ONjePjt4AaABAg,Gua live sepi 😹,NP
137,UgzWjcua20RTbcKHEjF4AaABAg,MPL EXE KAPAN MINN 😅😅,NP
138,UgxW5jw-q-jVRuecCzd4AaABAg,Kalo ikl spring sudah selesai apakah di buat exe ama atmin,NP
139,Ugy8bGRnE35ZsnxEfDt4AaABAg,Heng heng wkwk,NP
140,UgzKoj181t_TcahEZxB4AaABAg,Absolute banger,NP
141,Ugx1IrJWt1KLA41zkAF4AaABAg,Hadir min ❤,NP
142,UgxPi_vpUvDgibBjTAV4AaABAg,Bang lu GG bgt,NP
143,UgzGDaGQBOCa4SiDNAh4AaABAg,si atmin nyindir wakil atmin negara mulu jir😹😹,NP
144,Ugw_8Zs6tpdMmDfahr54AaABAg,nonton sambil ditemenin seporsi mie ayam 🥰😋,NP
145,UgynWrQunuw89N5SMLV4AaABAg,15:20  hengky mode mukena lbih cntik dri mayden,NP
146,UgymPBySinsicJyDwQx4AaABAg,YANG DITUNGGU TUNGGU,NP
147,UgwCCfkC-1vbaEtZlrR4AaABAg,Bikin part2 nya bang Akmj masih banyak lagi itu😅😂,NP
148,UgzzOUqy1zXXstqIgIV4AaABAg,"beban so imut, mirip barat juga 💀💀",NP
149,Ugx_sCpuppr9_X1A2ed4AaABAg,Teori dari nenek Meyden 😂,NP
150,Ugz1c_SL15TnLrz-WYB4AaABAg,KNTLKU MENYEMBUHKAN SEMUAAAAA 🔥🔥🔥🔥🔥,NP
151,Ugz8ahx3XB5Pxac2ezV4AaABAg,Nexs skylar donk bang,NP
152,UgxiqmVS7_2XpAEMS_F4AaABAg,Buat versi udil yg Terbaru bismillah dpt wdp🗿,NP
153,UgzE2_6XJXxi7OM6stJ4AaABAg,nunggu pai balek 😢,NP
154,UgyzLx7h3n9Cc_1-g4N4AaABAg,1:26 persi idoc,NP
155,Ugy0bO_XbJeh4wHuj814AaABAg,Fersi idok dong bang,NP
156,UgyS9X4C7ofkb62KNC14AaABAg,"ini dia yg ditunggu"" setrlah sekian purnama 😂",NP
157,Ugy872bAjUVk04jPK4Z4AaABAg,aowkwkwk bot like,NP
158,UgxpP69a6ztxTcclN1d4AaABAg,Lebih suka akmj promosi store nya daripada promosi game🗿,NP
159,Ugw4wRp6d5fJnopzrQ94AaABAg,Kyy K nya apa bang ?,NP
160,Ugzmzkl0LUXTR30ciHp4AaABAg,Emang gokil si akmj ngedit nyaa🔥🔥,NP
161,UgxLAHlGAykTtXLrjeV4AaABAg,Assist banyak auto cuan 🤣🤣,NP
162,UgxD7Spagin3PUtkQup4AaABAg,15:18 waja kek kenal di mpl sapa ya🗿🗿🗿,NP
163,UgwP5isaMECXtu7Z15d4AaABAg,Akhirnya roamer paling soft spoken tidak pernah berkata kasar dan cocok ditonton bareng sekeluarga masuk jg,NP
164,Ugw-8CUDFFDl7ZBDa414AaABAg,MASUKIN TOPUP GAME DRAGONNEST ROL,NP
165,UgzsBmPaFwlcZq9jZQ54AaABAg,"3:40 apa bende ni weee😂
mending elu lah ae bg ngedit😂",NP
166,Ugyn_355UUGl1JhdhD94AaABAg,4:26 Jadi Ass Anthem Jirr 😹,NP
167,UgyDCqkr1Q6vSKApFPx4AaABAg,Gak salah tu backsoundnya😹🤭🗿,NP
168,UgyIwqlpVVtCW2ILFuF4AaABAg,"Anjir, animasi 3D nya kece parah terus art 2D nya juga gacor banget 🔥🔥🔥",NP
169,Ugyg3IGOCIUNOU--yqh4AaABAg,Gw tamvan bet,NP
170,UgwwLY2c6XHEYJF7m_h4AaABAg,CAPEK BNGT KTWA😭😭😭,NP
171,Ugxq2hHS0rtvqmZZHA54AaABAg,3:44 apa ini dawg,NP
172,Ugysw2D4YVHzx_NoVsp4AaABAg,Bang nanya dong kalo buat meme 2 menitan msih ttp dpt adsense??,NP
173,UgyskQruFo1Ngan_WAZ4AaABAg,SERU BANGET JIRR,NP
174,UgwWkq8RYlfrQZyYC4d4AaABAg,Roamer yg sangat ramah,NP
175,UgzxOUAb369F5qX7ipZ4AaABAg,Min tolong min hapus komen judolnya ganggu,NP
176,UgwNAPLJzzQc4_V_Ifp4AaABAg,Baru inget pw yusub ya lerr?,NP
177,UgxrYVJoZPjdkJnG3oF4AaABAg,Kapan ya pai balik main ml lagi dan mabar ama hengki. Kangen nih,NP
178,Ugw50xuloAJm5yhLWB94AaABAg,Versi pai sekarang dong,NP
179,UgxmNNHnvkXTcnncFFt4AaABAg,07:05 siap abangkuhhh,NP
180,Ugy_jMzL_wslObOKmtV4AaABAg,7:53 Best moment! awokwowowkowkow,NP
181,UgyiiiOdsXmF71LqvAN4AaABAg,Gak sadar jo😅 kenak prank blezer😂,NP
182,Ugwgy1ygmsBfebR_7VZ4AaABAg,7:53 Wkwkwk awokwokwokwok Ngakak Gw Cuk 🤣🤣🤣🤣🙏,NP
183,Ugyt5ee2GOY5zFRFKIZ4AaABAg,Gueh orang paling hate sama user fanny 😡,NP
184,Ugwt_7xbUCGUNe29qfF4AaABAg,"Nggak nyangka dapet jakpot besar banget di 𝘿 O 𝙍 𝘈 𝟩 𝟳, luar biasa! 🍉",P
185,Ugz79M6dgWE02XUYFZ94AaABAg,Suka kejutan? Langsung coba main di 𝐃 𝙀 𝙒 A 𝐷 𝑂 Я 𝘼-dan rasakan rezekinya! ☦,P
186,UgxiF-ETHH72UbPzCCV4AaABAg,"Nggak nyangka, cuma main sebentar di 𝘋 𝐎 𝙍 A 𝟩 7-langsung dapet hasil yang luar biasa! 🏚",P
187,Ugze_4mMLlcC4gvVdHl4AaABAg,Keberhasilan di D 𝐄 𝘞 A 𝘿 𝙊 R 𝘼 meningkatkan modal usaha saya secara signifikan. 😊,P
188,UgynGb3wHBqpxV4wIsh4AaABAg,"Rezeki terus ngalir tiap kali main di 𝐷 𝑂 𝐑 A 𝟳 𝟩,benar-benar gacir! 🚎",P
189,UgwnOTJrcjGftpk_ybl4AaABAg,"Setiap hari selalu ada hal-hal baru dan menarik dari 𝐃 О R 𝘼 𝟳 𝟳,bikin rasa penasaran terus terjaga! 🦓",P
190,Ugwc3MJwZXOQfnkqrxh4AaABAg,"Jika Anda menghargai umpan balik pengguna, 𝘿 𝘌 𝐖 А 𝐷 𝐎 𝐑 𝐀-mungkin pilihan yang baik. 🍩",P
191,UgwMDQrxTc2Vib-qodV4AaABAg,"Melalui D 𝐎 Я 𝘼 7 𝟩 saya berubah, dari sopir angkot jadi pengusaha transportasi. 🥨",P
192,UgwVOHYloZZ-ut4bWId4AaABAg,"Seru banget main di D 𝘌 𝐖 𝘈 𝐷 O 𝐑 𝘼, eh dapet JP juga! Rezeki emang gak kemana! ⏩",P
193,Ugz5rGFJWquRgP_K9tl4AaABAg,"Hasil nyata di D 𝘖 Я 𝐴 𝟩 𝟽 mengantar saya, dari penjual kecil jadi pengusaha besar. ⛪",P
194,Ugz7dLfSKIDu5q1zY9R4AaABAg,"Main santai di 𝘿 О 𝘙 𝘈 𝟩 7,hasilnya bikin senyum lebar. Terima kasih banyak! 🍻",P
195,UgzzPxGGXlpIhNpFJW14AaABAg,Harit tap tap jo🤣🤣,NP
196,UgzFWtv2CtttJr0fyet4AaABAg,reupload kah kya prnah nonton,NP
197,UgxxvGTLQF7afBo_kB54AaABAg,Anjai blejer,NP
198,UgwxHe8gizEoip4iHOV4AaABAg,Lihat ditiktok ada yg 52rb match yg main sama jo,NP
199,UgyZWY8Bx3nOWx82XnV4AaABAg,"Gak pernah gagal,𝐒𝐆𝐈𝟖𝟖🔥",P
200,Ugwni-zdSeIzRltAjiF4AaABAg,yang pro aja bang di 𝐒𝐆𝐈𝟖𝟖 👍,P
201,UgytniG6kxPGWVhTE4Z4AaABAg,"jepey terus di 𝐒𝐆𝐈𝟖𝟖, beneran!",P
202,UgwMlOiMIa6cNV2-p554AaABAg,Gw paling demen gas di 🚩𝐒𝐆𝐈𝟖𝟖🚩 wkwkwkww seru. Harus sering2 sih ini mah,P
203,UgzW6SPsoEatRkrlApF4AaABAg,Lancar lancar bang salam Jepe ⭐𝐒𝐆𝐈𝟖𝟖,P
204,UgwE39U13smdbpwxyCF4AaABAg,emng bener kemarin udah coba di probet hari ini mau gas lagi ahh 🚩𝐒𝐆𝐈𝟖𝟖🚩 kawan berbuah manis,P
205,Ugyey438EMOgBTPJjCJ4AaABAg,👍 𝐒𝐆𝐈𝟖𝟖 👌,P
206,UgxIX-TN0G10bz1YnsR4AaABAg,𝐒𝐆𝐈𝟖𝟖 bikin maxwin makin gampang,P
207,UgyNrERy70CmDNU3d3N4AaABAg,"Nyimak abang , 𝐒𝐆𝐈𝟖𝟖 Cair mulu 😁",P
208,Ugxlr0cSGnDW_5J4J3V4AaABAg,menurut gw sih situs adil yah di 🚩𝐒𝐆𝐈𝟖𝟖🚩 soalnya menang w di bayar cash gak pakek lama,P
209,Ugy5f26irVvAgSOhjhN4AaABAg,Ada notif langsung nonton 😂😂 soalnya habis jepe di 𝐒𝐆𝐈𝟖𝟖,P
210,UgwW0-lgxEIL1iw9ZRN4AaABAg,👍 𝐒𝐆𝐈𝟖𝟖 👌,P
211,UgwFnUFiY4YOnFOvYt54AaABAg,Sehat selalu semuanya salam dari 𝐒𝐆𝐈𝟖𝟖 gampang jepe,P
